time,ticker,type,tradePrice,quantity,percentage,benefit,seed,cash,ticker_cash,ticker_quantity,ticker_meanPrice,tradeCash,preMean
2023-05-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,80,80,0.0,0.0,0.0,0.0,
2023-05-01 02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,80,80,0.0,0.0,0.0,0.0,0.0
2023-05-01 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,80,80,0.0,0.0,0.0,0.0,0.0
2023-05-01 02:15:00,XRPUSDT,Action.BUY,0.4803,10.0,0.0,0.0,79.9808,75.197,4.7838,9.96,0.4803,4.803,0.0
2023-05-01 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9828,75.197,4.7858,9.96,0.4803,0.0,0.4803
2023-05-01 02:25:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9838,75.197,4.7868,9.96,0.4803,0.0,0.4803
2023-05-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9868,75.197,4.7898,9.96,0.4803,0.0,0.4803
2023-05-01 02:35:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9808,75.197,4.7838,9.96,0.4803,0.0,0.4803
2023-05-01 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9778,75.197,4.7808,9.96,0.4803,0.0,0.4803
2023-05-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9738,75.197,4.7768,9.96,0.4803,0.0,0.4803
2023-05-01 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9698,75.197,4.7728,9.96,0.4803,0.0,0.4803
2023-05-01 02:55:00,XRPUSDT,Action.SELL,0.4788,8.0,-0.7111,-0.0273,79.9505,79.0121,0.9384,1.96,0.4803,3.8304,0.4803
2023-05-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9482,79.0121,0.9361,1.96,0.4803,0.0,0.4803
2023-05-01 03:05:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9494,79.0121,0.9373,1.96,0.4803,0.0,0.4803
2023-05-01 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9513,79.0121,0.9392,1.96,0.4803,0.0,0.4803
2023-05-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9515,79.0121,0.9394,1.96,0.4803,0.0,0.4803
2023-05-01 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,79.9515,79.0121,0.9394,1.96,0.4803,0.0,0.4803
